Date,Amanda_Christensen,Calvin_Klein,Eton,J_Lindeberg,Lacoste,Levi_s,Oscar_Jacobson,Ray_Ban,Tiger_of_Sweden
2014-07-01,5744,29976,78835.1272727272,89833.8461538462,65226.4,63884.8,18971.8133333333,,287420.566400001
2014-08-01,7372.8,33969,98835.0545454545,153530.892307692,43368.6799999999,57153.6,48796.8,,322481.827200001
2014-09-01,8881,28602,70639.9999999999,146138.461538462,26553.1999999999,47048,37864.2666666667,,263211.0544
2014-10-01,10693.215,23257,70230.1818181817,151481.846153846,37045.5999999999,33032,23762,,295135.536000001
2014-11-01,17121.8,29817,96073.7454545454,180756.000000001,35666.8,25476,41173.6,,328531.016000001
2014-12-01,34321.5999999999,43738.5,143256.363636364,144416.615384615,33796.4,25960.8,47829.4666666667,,519894.808000004
2015-01-01,7085.2,28526.5,120765.818181818,182552.492307693,31064.7999999999,55235.2,30837.7333333333,,300741.560000001
2015-02-01,7233.6,27148.4658,82245.6727272726,134998.584492308,29403.62392,30020.8,21506.09584,19107.2,270403.424
2015-03-01,7635.20568,48290.5,81373.939490909,189940.55803077,62399.6842,302.4,66656.1249066667,67636.3999999999,260036.0510032
2015-04-01,8710.55292,30567.9132,80840.2450181817,136470.3984,73999.01736,,52975.7659466667,57623.21312,200100.4619664
2015-05-01,17661.463395,39250.6262,116184.852654545,179055.837661539,86287.31936,,51946.9709226667,63465.0985599999,366531.420364801
2015-06-01,12468.3882,56983.3719999999,87637.3314181817,122439.367323077,81748.43112,,45756.7281333333,71505.0082399999,155359.4085408
2015-07-01,6179.5356,42632.267,135494.885090909,153376.08923077,86328.5216,-1278.4,38679.8824,37648.4016,286216.93552
2015-08-01,13285.15768,40665.5152,154798.000145455,138074.214276923,31696.2424,,59934.38448,10474,268126.856192
2015-09-01,12214.4922,53042.9611,90523.5564363635,233688.107200001,38328.71424,,69268.49096,12643.81312,309395.448304001
2015-10-01,17644.62752,67885.6431999999,121883.678836364,269987.572676924,41898.0416,,62483.8446933333,152.54912,308336.899545601
2015-11-01,25430.7696,59083.904,156435.087709091,276087.005538463,36967.66752,,52682.8791466667,2404.15616,450976.065216001
2015-12-01,31881.13704,100022.7186,200090.890109091,100425.072,40667.39676,,54907.1009066667,11913.6,483726.467715203
2016-01-01,8985.5732,52681.915,199932.999854545,115269.683323077,69907.68048,,30255.2317866666,21098.58432,216190.2264928
2016-02-01,11070.98928,40795.5376,149798.082036364,184728.279261539,46177.57016,,39294.27808,47751.45264,247429.994464
2016-03-01,8882.51984,84986.7367999999,114421.482763636,291562.890215386,58252.0568,,51100.69864,54326.08048,245885.1180048
2016-04-01,11983.09896,58093.9735999999,134444.2544,248553.762953847,60455.2876,,88996.2661333333,102101.41488,261715.9171328
2016-05-01,14280.03404,93774.7880999997,177381.431563636,212109.776861539,114479.92724,,79359.7290133333,127994.61232,255201.4283944
2016-06-01,3306.23864,69232.0795999999,106705.157672727,123234.597538462,119740.82712,,54651.8938666667,133657.019248,187315.6839456
2016-07-01,7874.75168,86973.0848999998,138297.490690909,200495.19563077,124813.505144001,,70036.19648,71877.51568,270178.1672128
2016-08-01,9341.59836,72176.7904999999,162204.010836364,263020.865076925,61027.55088,,75203.95952,16937.02224,373251.355791361
2016-09-01,23368.97804,81161.0737999999,136812.420218182,275938.833476924,50129.125,,76870.1313333337,14457.25528,230856.5703376
2016-10-01,25723.6162399999,107884.342,130012.8976,442607.053784616,57408.82816,,85893.5598933337,15227.64928,308361.325671281
2016-11-01,33899.4098799999,143194.7456,165932.561381818,325159.061476924,57553.54584,,90207.2858666667,13112,377586.687480401
2016-12-01,32314.1880999999,167049.244099999,248872.367854545,270197.938769232,61011.80104,,94764.8577600003,17281.01848,503040.641199881
2017-01-01,12903.845,117139.1151,263737.946094546,199990.308000001,45835.7741599999,,78288.7521600003,16741.31248,454972.171547361
2017-02-01,12626.28068,68999.4128999999,156134.212618182,183850.546400001,38488.7664399999,,73972.9431466667,32790.04056,197344.3339936
2017-03-01,8988.90324,91042.7826999997,157963.280218182,392177.057538463,66009.82928,,70104.18296,60304.32088,162598.107408
2017-04-01,11308.59176,73561.6336999999,176343.701963636,306789.694030771,95310.60288,,98627.267626667,97620.5692799999,233879.4210224
2017-05-01,14994.731,98550.5607999997,167486.567854545,267617.888123078,159819.947920001,,113883.841386667,142095.50064,223798.871488
2017-06-01,7473.38108,106542.8677,116979.189818182,138538.854953846,149851.068280001,,36214.2758666667,137730.07176,106615.0861408
2017-07-01,9184.310372,119238.3066,183610.606981818,161597.97883077,118451.3052,,76325.79888,79903.0836,359287.465160001
2017-08-01,12164.3424,85016.5579999999,204480.672509091,175047.646215385,83573.79528,,78230.46792,28473.53592,392753.100377601
2017-09-01,25773.14576,80580.4421999997,156046.6256,301437.563446155,69256.92424,,110769.067413334,13200.86288,198359.5381472
2017-10-01,46531.1259199999,103063.8309,157546.184436364,515773.468984615,63033.54664,105666.78016,101160.592826667,14548.93896,291117.520808
2017-11-01,42064.3483199999,118070.1579,174829.909090909,370491.457230771,75453.12564,185333.4104,110113.200373334,7116,251269.973504
2017-12-01,46051.9087599999,161805.5756,260118.611563637,298335.176307694,103456.62416,274751.16912,114198.896712667,12877.15904,411577.376854401
2018-01-01,13380.79784,118475.857,185989.17776,267434.410092309,75147.41728,182649.87392,94773.6753693337,20709.11936,278134.9692928
2018-02-01,11249.85868,61836.8515,149815.926618182,120719.771323077,62896.21016,225429.48272,42654.8508586667,16260.50456,171890.186256
2018-03-01,15495.02128,90790.3075999999,155274.442109091,175262.561230769,78766.7485,410885.6816,71934.03624,41625.72032,188783.8836752
2018-04-01,16744.574,118131.5499,214803.864509091,179687.701353846,106144.59016,429556.622080002,123740.466031334,91207.6888799999,175034.7871968
2018-05-01,18392.31396,204984.4518,206474.623854545,203916.802461539,220238.681440001,432600.624000002,116911.54654,139070.78368,233051.5439376
2018-06-01,8814.85004,166919.9272,182162.501745455,155347.746830769,174421.285440001,303120.51232,80526.3959746667,124838.90304,150157.6360624
2018-07-01,11251.0496,213309.234,203603.248727273,232062.347015386,116917.64056,252651.72176,73526.9261003333,109347.62648,222011.7534736
2018-08-01,18894.20592,126072.2828,160430.857018182,215516.89046154,83220.94056,414253.583680002,124228.859995334,18349.02,277055.4730112
2018-09-01,40879.207089,127294.3261,201055.5752,331812.993230771,92731.26152,370692.90368,145057.673813334,21104.15952,303408.769828641
